ID,Time,Temperature,Precipitation,WindVelocity,WindDirection
93,2019-09-20 13:00,21.6,,0.5,250
93,2019-09-20 14:00,22.5,,0.7,340
93,2019-09-20 15:00,22.3,,1.6,360
93,2019-09-20 16:00,22.3,,1.2,360
93,2019-09-20 17:00,21.7,,0.8,20
93,2019-09-20 18:00,20.5,,1.5,50
93,2019-09-20 19:00,20.3,,0.2,0
93,2019-09-20 20:00,18,,1,290
93,2019-09-20 21:00,17.9,,0.6,360
93,2019-09-20 22:00,17.2,,0.8,360
93,2019-09-20 23:00,16.6,,0.4,0
93,2019-09-21 0:00,16.1,,0.5,70
93,2019-09-21 1:00,15.9,,0.8,50
93,2019-09-21 2:00,15.7,,0.1,0
93,2019-09-21 3:00,15.3,,0.5,140
93,2019-09-21 4:00,15.3,,0.3,0
93,2019-09-21 5:00,14.9,,0.3,0
93,2019-09-21 6:00,14.9,,0.5,340
93,2019-09-21 7:00,14.9,,0.5,50
93,2019-09-21 8:00,15.5,,0.3,0
93,2019-09-21 9:00,16.1,,0.6,360
93,2019-09-21 10:00,16.9,,0.6,200
93,2019-09-21 11:00,17.8,,0.8,290
93,2019-09-21 12:00,18.9,,0.8,230
93,2019-09-21 13:00,19.7,,0.6,290
93,2019-09-21 14:00,20,,0.5,270
93,2019-09-21 15:00,20.1,,1.4,180
93,2019-09-21 16:00,20.1,,0.4,0
93,2019-09-21 17:00,19.4,,1,230
93,2019-09-21 18:00,18.7,,0.9,360
93,2019-09-21 19:00,17.8,,0.5,200
93,2019-09-21 20:00,17.7,,0.5,50
93,2019-09-21 21:00,17.2,,1,290
93,2019-09-21 22:00,16.7,,0.6,230
93,2019-09-21 23:00,16.9,,1,200
93,2019-09-22 0:00,19,,1,90
95,2019-09-16 1:00,18.4,,0.9,70
95,2019-09-16 2:00,17.8,,0,0
95,2019-09-16 3:00,17.3,,0.1,0
95,2019-09-16 4:00,17.1,,0.1,0
95,2019-09-16 5:00,16.7,,0.7,360
95,2019-09-16 6:00,16.7,,0.4,0
95,2019-09-16 7:00,17.5,,0,0
95,2019-09-16 8:00,17.9,,0.2,0
95,2019-09-16 9:00,19.4,,1,360
95,2019-09-16 10:00,22.9,,1.7,340
95,2019-09-16 11:00,25.3,,2.4,20
95,2019-09-16 12:00,26.7,,3.8,20
95,2019-09-16 13:00,27.6,,3.2,50
95,2019-09-16 14:00,27.8,,4.1,20
95,2019-09-16 15:00,27.9,,4.1,360
95,2019-09-16 16:00,28.5,,3.4,20
95,2019-09-16 17:00,27.4,,2.8,20
95,2019-09-16 18:00,25.9,,1.4,70
95,2019-09-16 19:00,22,,1.7,90
95,2019-09-16 20:00,18.7,,0.9,50
95,2019-09-16 21:00,17.3,,0.8,50
95,2019-09-16 22:00,16.6,,1,70
95,2019-09-16 23:00,15.2,,0.8,340
95,2019-09-17 0:00,15,,0.1,0
95,2019-09-17 1:00,13.8,,0.3,0
95,2019-09-17 2:00,13.6,,0,0
95,2019-09-17 3:00,12.6,,0.3,0
95,2019-09-17 4:00,12,,0.3,0
95,2019-09-17 5:00,12.2,,0.1,0
95,2019-09-17 6:00,11.3,,0.3,0
95,2019-09-17 7:00,11.9,,0,0
95,2019-09-17 8:00,15.4,,0.3,0
95,2019-09-17 9:00,18.4,,0.1,0
95,2019-09-17 10:00,22,,1.4,50
95,2019-09-17 11:00,23.7,,1.6,20
95,2019-09-17 12:00,24.6,,1.3,340
95,2019-09-17 13:00,24.9,,1.5,270
95,2019-09-17 14:00,25.5,,1.1,250
95,2019-09-17 15:00,26.3,,1.1,320
95,2019-09-17 16:00,26.3,,1.3,270
95,2019-09-17 17:00,25.5,,1.7,320
95,2019-09-17 18:00,23,,1.5,340
95,2019-09-17 19:00,21.3,,0.4,0
95,2019-09-17 20:00,20.7,,0.8,110
95,2019-09-17 21:00,18.9,,0.1,0
95,2019-09-17 22:00,17.9,,0.8,20
95,2019-09-17 23:00,17,,0.1,0
95,2019-09-18 0:00,17.1,,0.6,340
95,2019-09-18 1:00,16.3,,0.5,20
95,2019-09-18 2:00,16.6,,0.3,0
95,2019-09-18 3:00,16.1,,0.4,0
95,2019-09-18 4:00,15.5,,0.1,0
95,2019-09-18 5:00,14.6,,0.2,0
95,2019-09-18 6:00,14.1,,0,0
95,2019-09-18 7:00,13.7,,0.5,20
95,2019-09-18 8:00,16.4,,0.1,0
95,2019-09-18 9:00,19.4,,0.5,360
95,2019-09-18 10:00,21.3,,0.7,290
95,2019-09-18 11:00,22.8,,1.8,50
95,2019-09-18 12:00,23.3,,1.2,320
95,2019-09-18 13:00,23.9,,2.5,320
95,2019-09-18 14:00,23.9,,2.3,290
95,2019-09-18 15:00,24.1,,2.4,320
95,2019-09-18 16:00,23.5,,3,340
95,2019-09-18 17:00,22.6,,1.8,320
95,2019-09-18 18:00,20,,1.7,360
95,2019-09-18 19:00,17.6,,0.6,20
95,2019-09-18 20:00,14.7,,1,70
95,2019-09-18 21:00,14.6,,0.9,90
95,2019-09-18 22:00,13.1,,1,50
95,2019-09-18 23:00,12.1,,0.8,50
95,2019-09-19 0:00,10.9,,1.1,20
95,2019-09-19 1:00,10.9,,0.9,50
95,2019-09-19 2:00,10.5,,0.3,0
95,2019-09-19 3:00,10.3,,0.8,90
95,2019-09-19 4:00,10,,0.5,200
95,2019-09-19 5:00,9.8,,0.7,110
95,2019-09-19 6:00,8.8,,0,0
95,2019-09-19 7:00,9.4,,0,0
95,2019-09-19 8:00,12.1,,0.2,0
95,2019-09-19 9:00,15.3,,0.6,70
95,2019-09-19 10:00,18.1,,0.5,230
95,2019-09-19 11:00,19.9,,1.1,250
95,2019-09-19 12:00,22.6,,1.1,230
95,2019-09-19 13:00,23,,1.1,230
95,2019-09-19 14:00,22.5,,1.5,230
95,2019-09-19 15:00,22.8,,1.8,320
95,2019-09-19 16:00,20.9,,2.2,340
95,2019-09-19 17:00,20.3,,1.3,360
95,2019-09-19 18:00,19,,0.7,20
95,2019-09-19 19:00,17.6,,0.8,110
95,2019-09-19 20:00,16.3,,1.2,110
95,2019-09-19 21:00,14.4,,0.2,0
95,2019-09-19 22:00,12.4,,1.1,50
95,2019-09-19 23:00,12.2,,0.7,20
95,2019-09-20 0:00,12.5,,0.1,0
95,2019-09-20 1:00,12.3,,0.3,0
95,2019-09-20 2:00,12.4,,0.5,50
95,2019-09-20 3:00,12.1,,0,0
95,2019-09-20 4:00,12.5,,0,0
95,2019-09-20 5:00,12.5,,0.1,0
95,2019-09-20 6:00,12.2,,0,0
95,2019-09-20 7:00,12.5,,0.2,0
95,2019-09-20 8:00,13.7,,0.5,110
95,2019-09-20 9:00,15.5,,0.5,340
95,2019-09-20 10:00,17.2,,0.9,180
95,2019-09-20 11:00,19.8,,2.3,20
95,2019-09-20 12:00,20.1,,2.4,20
95,2019-09-20 13:00,20.4,,3,20
95,2019-09-20 14:00,21.5,,2.5,20
95,2019-09-20 15:00,22.2,,2,50
95,2019-09-20 16:00,21.6,,1.5,50
95,2019-09-20 17:00,20.9,,0.5,140
95,2019-09-20 18:00,19.1,,0.6,360
95,2019-09-20 19:00,18.6,,1.1,110
95,2019-09-20 20:00,17.4,,1,110
95,2019-09-20 21:00,16.3,,0.4,0
95,2019-09-20 22:00,16.8,,1,230
95,2019-09-20 23:00,15.9,,0.5,320
95,2019-09-21 0:00,15.1,,0.6,320
95,2019-09-21 1:00,14.5,,0.2,0
95,2019-09-21 2:00,14.2,,0,0
95,2019-09-21 3:00,14.3,,0,0
95,2019-09-21 4:00,13.8,,0.6,340
95,2019-09-21 5:00,13.7,,0.3,0
95,2019-09-21 6:00,13.3,,0.4,0
95,2019-09-21 7:00,13.4,,0.3,0
95,2019-09-21 8:00,14.6,,0.6,160
95,2019-09-21 9:00,15.3,,0,0
95,2019-09-21 10:00,16.3,,0.2,0
95,2019-09-21 11:00,17.4,,0.5,50
95,2019-09-21 12:00,18.1,,0.6,20
95,2019-09-21 13:00,19.5,,3.2,360
95,2019-09-21 14:00,20.2,,2.4,360
95,2019-09-21 15:00,20,,3.2,360
95,2019-09-21 16:00,20.5,,1,340
95,2019-09-21 17:00,19.7,,0.6,20
95,2019-09-21 18:00,19.1,,0.5,200
95,2019-09-21 19:00,17.6,,0.2,0
95,2019-09-21 20:00,17.2,,0,0
95,2019-09-21 21:00,16.8,,0.3,0
95,2019-09-21 22:00,16.4,,0.1,0
95,2019-09-21 23:00,16.1,,0.1,0
95,2019-09-22 0:00,15.8,,0.2,0
98,2019-09-16 1:00,19.7,,0.8,20
98,2019-09-16 2:00,19.2,,1.9,360
98,2019-09-16 3:00,19.2,,1.9,360
98,2019-09-16 4:00,19,,1.1,360
98,2019-09-16 5:00,18.2,,0.6,20
98,2019-09-16 6:00,18,,0.5,50
98,2019-09-16 7:00,18.3,,1,20
98,2019-09-16 8:00,19,,1.1,360
98,2019-09-16 9:00,21.1,,1.4,340
98,2019-09-16 10:00,23.5,,1.6,340
98,2019-09-16 11:00,25.4,,2.8,340
98,2019-09-16 12:00,26.6,,1.6,360
98,2019-09-16 13:00,27.7,,1.6,20
98,2019-09-16 14:00,28.2,,2.1,340
98,2019-09-16 15:00,28.2,,2,340
98,2019-09-16 16:00,28.1,,1.5,360
98,2019-09-16 17:00,27.7,,1.6,320
98,2019-09-16 18:00,26.3,,1.1,360
98,2019-09-16 19:00,23.3,,1,50
98,2019-09-16 20:00,21.7,,0.6,70
98,2019-09-16 21:00,19.7,,0.9,20
98,2019-09-16 22:00,18.3,,0.9,20
98,2019-09-16 23:00,16.8,,0.8,20
98,2019-09-17 0:00,16.6,,0.1,0
98,2019-09-17 1:00,16,,0.9,50
98,2019-09-17 2:00,15.6,,0.9,20
98,2019-09-17 3:00,15.2,,0.6,50
98,2019-09-17 4:00,14.3,,1,360
98,2019-09-17 5:00,14.2,,0.5,90
98,2019-09-17 6:00,13.5,,0.8,20
98,2019-09-17 7:00,13.8,,1.2,20
98,2019-09-17 8:00,16.4,,0.3,0
98,2019-09-17 9:00,19.7,,0.5,360
98,2019-09-17 10:00,23.2,,0.6,360
98,2019-09-17 11:00,24.1,,0.5,50
98,2019-09-17 12:00,25.3,,0.8,140
98,2019-09-17 13:00,26,,1.1,70
98,2019-09-17 14:00,25.8,,0.8,200
98,2019-09-17 15:00,26.9,,1.3,250
98,2019-09-17 16:00,26,,2,320
98,2019-09-17 17:00,25.1,,2.1,320
98,2019-09-17 18:00,24.1,,1.1,340
98,2019-09-17 19:00,22.1,,0.7,50
98,2019-09-17 20:00,20.6,,0.8,20
98,2019-09-17 21:00,20.2,,0.6,50
98,2019-09-17 22:00,19.7,,0.2,0
98,2019-09-17 23:00,18.8,,0.7,70
98,2019-09-18 0:00,18.4,,0.6,50
98,2019-09-18 1:00,18,,0.8,50
98,2019-09-18 2:00,17.3,,0.8,360
98,2019-09-18 3:00,17.7,,0.3,0
98,2019-09-18 4:00,17.2,,0.9,70
98,2019-09-18 5:00,16.6,,0.6,20
98,2019-09-18 6:00,15.7,,0.5,110
98,2019-09-18 7:00,15.5,,0.6,50
98,2019-09-18 8:00,18.1,,0.2,0
98,2019-09-18 9:00,20.8,,1.2,360
98,2019-09-18 10:00,21.9,,1.4,20
98,2019-09-18 11:00,23.2,,4.3,320
98,2019-09-18 12:00,23.9,,2.1,340
98,2019-09-18 13:00,24.7,,2.5,340
98,2019-09-18 14:00,25.2,,3,320
98,2019-09-18 15:00,24.4,,2.4,320
98,2019-09-18 16:00,23.8,,4.1,320
98,2019-09-18 17:00,22.6,,2.4,320
98,2019-09-18 18:00,20.7,,2.4,320
98,2019-09-18 19:00,18.8,,1.1,20
98,2019-09-18 20:00,17.9,,0.9,20
98,2019-09-18 21:00,17.4,,1.6,20
98,2019-09-18 22:00,16.7,,0.9,50
98,2019-09-18 23:00,15.1,,1.2,50
98,2019-09-19 0:00,14.8,,1.9,360
98,2019-09-19 1:00,13.3,,0.8,70
98,2019-09-19 2:00,12.4,,0.9,20
98,2019-09-19 3:00,11.6,,1.1,360
98,2019-09-19 4:00,10.5,,0.9,360
98,2019-09-19 5:00,10.8,,1.3,360
98,2019-09-19 6:00,10.1,,0.7,20
98,2019-09-19 7:00,10,,0.3,0
98,2019-09-19 8:00,12.7,,0.3,0
98,2019-09-19 9:00,15.8,,0.6,320
98,2019-09-19 10:00,19.5,,0.6,340
98,2019-09-19 11:00,21.9,,0.7,180
98,2019-09-19 12:00,23,,1,270
98,2019-09-19 13:00,22.7,,1.6,270
98,2019-09-19 14:00,22.8,,1.8,340
98,2019-09-19 15:00,24,,1,340
98,2019-09-19 16:00,23.4,,1.6,340
98,2019-09-19 17:00,21.3,,1.9,360
98,2019-09-19 18:00,20,,1.1,50
98,2019-09-19 19:00,19,,0.8,70
98,2019-09-19 20:00,17.8,,0.9,50
98,2019-09-19 21:00,15.6,,1.3,20
98,2019-09-19 22:00,14.5,,0.8,20
98,2019-09-19 23:00,13.8,,1,50
98,2019-09-20 0:00,13.5,,0.6,360
98,2019-09-20 1:00,13.1,,1,50
98,2019-09-20 2:00,12.8,,0.8,20
98,2019-09-20 3:00,12.8,,0.7,360
98,2019-09-20 4:00,12.6,,0.2,0
98,2019-09-20 5:00,12.6,,0.7,360
98,2019-09-20 6:00,12.3,,0.6,20
98,2019-09-20 7:00,12.6,,0.8,20
98,2019-09-20 8:00,13.8,,0.3,0
98,2019-09-20 9:00,15.4,,0.3,0
98,2019-09-20 10:00,17.2,,0.1,0
98,2019-09-20 11:00,19.6,,0.6,360
98,2019-09-20 12:00,21.2,,0.9,360
98,2019-09-20 13:00,21.1,,1.2,20
98,2019-09-20 14:00,21.4,,0.5,20
98,2019-09-20 15:00,21.2,,0.8,360
